id,word,translation,gender,status
1,time,время,neuter,FALSE
2,man,мужчина,masculine,FALSE
3,way,путь,masculine,FALSE
4,people,люди,"plural, both genders",FALSE
5,life,жизнь,feminine,FALSE
6,day,день,masculine,FALSE
7,work,работа,feminine,FALSE
8,call,звонок,masculine,FALSE
9,night,ночь,feminine,FALSE
10,home,дом,masculine,FALSE
11,thought,мысль,feminine,FALSE
12,money,деньги,"plural, masculine",FALSE
13,name,имя,neuter,FALSE
14,father,отец,masculine,FALSE
15,guy,парень,masculine,FALSE
16,place,место,neuter,FALSE
17,feel,чувство,neuter,FALSE
18,girl,девушка,feminine,FALSE
19,house,дом,masculine,FALSE
20,left,лево,neuter,FALSE
21,right,право,neuter,FALSE
22,mother,мать,feminine,FALSE
23,course,курс,masculine,FALSE
24,dad,папа,masculine,FALSE
25,world,мир,masculine,FALSE
26,son,сын,masculine,FALSE
27,car,автомобиль,masculine,FALSE
28,woman,женщина,feminine,FALSE
29,friend,друг,masculine,FALSE
30,mind,разум,masculine,FALSE
31,head,голова,feminine,FALSE
32,mom,мама,feminine,FALSE
33,boy,мальчик,masculine,FALSE
34,job,работа,feminine,FALSE
35,baby,младенец,masculine,FALSE
36,family,семья,feminine,FALSE
37,room,комната,feminine,FALSE
38,brother,брат,masculine,FALSE
39,head,голова,feminine,FALSE
40,idea,идея,feminine,FALSE
41,wife,жена,feminine,FALSE
42,start,начало,neuter,FALSE
43,door,дверь,feminine,FALSE
44,bit,кусок,masculine,FALSE
45,matter,вопрос,masculine,FALSE
46,run,бег,masculine,FALSE
47,school,школа,feminine,FALSE
48,play,игра,feminine,FALSE
49,problem,проблема,feminine,FALSE
50,end,конец,masculine,FALSE
51,phone,телефон,masculine,FALSE
52,hope,надежда,feminine,FALSE
53,excuse,отговорка,feminine,FALSE
54,face,лицо,neuter,FALSE
55,turn,поворот,masculine,FALSE
56,police,полиция,feminine,FALSE
57,heart,сердце,neuter,FALSE
58,worry,забота,feminine,FALSE
59,business,бизнес,masculine,FALSE
60,watch,часы,"plural, masculine",FALSE
61,year,год,masculine,FALSE
62,hand,рука,feminine,FALSE
63,doctor,врач,masculine,FALSE
64,sit,сидение,neuter,FALSE
65,second,секунда,feminine,FALSE
66,kid,ребенок,masculine,FALSE
67,pay,оплата,feminine,FALSE
68,water,вода,feminine,FALSE
69,death,смерть,feminine,FALSE
70,stuff,вещи,"plural, feminine",FALSE
