id,word,translation,gender
1,time,время,neuter
2,man,мужчина,masculine
3,way,путь,masculine
4,people,люди,"plural, both genders"
5,life,жизнь,feminine
6,day,день,masculine
7,work,работа,feminine
8,call,звонок,masculine
9,night,ночь,feminine
10,home,дом,masculine
11,thought,мысль,feminine
12,money,деньги,"plural, masculine"
13,name,имя,neuter
14,father,отец,masculine
15,guy,парень,masculine
16,place,место,neuter
17,feel,чувство,neuter
18,girl,девушка,feminine
19,house,дом,masculine
20,left,лево,neuter
21,right,право,neuter
22,mother,мать,feminine
23,course,курс,masculine
24,dad,папа,masculine
25,world,мир,masculine
26,son,сын,masculine
27,car,автомобиль,masculine
28,woman,женщина,feminine
29,friend,друг,masculine
30,mind,разум,masculine
31,head,голова,feminine
32,mom,мама,feminine
33,boy,мальчик,masculine
34,job,работа,feminine
35,baby,младенец,masculine
36,family,семья,feminine
37,room,комната,feminine
38,brother,брат,masculine
39,head,голова,feminine
40,idea,идея,feminine
41,wife,жена,feminine
42,start,начало,neuter
43,door,дверь,feminine
44,bit,кусок,masculine
45,matter,вопрос,masculine
46,run,бег,masculine
47,school,школа,feminine
48,play,игра,feminine
49,problem,проблема,feminine
50,end,конец,masculine
51,phone,телефон,masculine
52,hope,надежда,feminine
53,excuse,отговорка,feminine
54,face,лицо,neuter
55,turn,поворот,masculine
56,police,полиция,feminine
57,heart,сердце,neuter
58,worry,забота,feminine
59,business,бизнес,masculine
60,watch,часы,"plural, masculine"
61,year,год,masculine
62,hand,рука,feminine
63,doctor,врач,masculine
64,sit,сидение,neuter
65,second,секунда,feminine
66,kid,ребенок,masculine
67,pay,оплата,feminine
68,water,вода,feminine
69,death,смерть,feminine
70,stuff,вещи,"plural, feminine"
71,minute,минута,feminine
72,part,часть,feminine
73,person,человек,masculine
74,drink,напиток,masculine
75,change,изменение,neuter
76,hit,удар,masculine
77,check,чек,masculine
78,music,музыка,feminine
79,inside,внутрь,masculine
80,sleep,сон,masculine
81,mine,моя,feminine
82,deal,сделка,feminine
83,point,точка,feminine
84,body,тело,neuter
85,dear,дорогой,masculine
86,chance,шанс,masculine
87,close,близость,feminine
88,party,вечеринка,feminine
89,daughter,дочь,feminine
90,word,слово,neuter
91,fun,веселье,neuter
92,number,номер,masculine
93,story,рассказ,masculine
94,set,набор,masculine
95,wish,желание,neuter
96,husband,муж,masculine
97,fire,огонь,masculine
98,fight,бой,masculine
99,rest,отдых,masculine
100,moment,момент,masculine
101,week,неделя,feminine
102,stand,стенд,masculine
103,game,игра,feminine
104,cut,порез,masculine
105,sister,сестра,feminine
106,child,ребенок,masculine
107,side,сторона,feminine
108,blood,кровь,feminine
109,truth,правда,feminine
110,lady,дама,feminine
111,shot,выстрел,masculine
112,war,война,feminine
113,break,перерыв,masculine
114,walk,прогулка,feminine
115,reason,причина,feminine
116,trouble,беда,feminine
117,city,город,masculine
118,town,городок,masculine
119,trust,доверие,neuter
120,question,вопрос,masculine
121,office,офис,masculine
122,half,половина,feminine
123,welcome,приветствие,neuter
124,couple,пара,feminine
125,hurry,спешка,feminine
126,honey,мед,masculine
127,power,власть,feminine
128,bed,кровать,feminine
129,front,передок,masculine
130,answer,ответ,masculine
131,gun,пистолет,masculine
132,line,линия,feminine
133,team,команда,feminine
134,news,новость,feminine
135,captain,капитан,masculine
136,hate,ненависть,feminine
137,dog,собака,feminine
138,food,еда,feminine
139,light,свет,masculine
140,order,заказ,masculine
141,country,страна,feminine
142,pick,выбор,masculine
143,fact,факт,masculine
144,black,черный,masculine
145,boss,босс,masculine
146,cause,причина,feminine
147,dinner,ужин,masculine
148,promise,обещание,neuter
149,plan,план,masculine
150,sort,вид,masculine
151,book,книга,feminine
152,hour,час,masculine
153,uncle,дядя,masculine
154,safe,сейф,masculine
155,shoot,выстрел,masculine
156,touch,прикосновение,neuter
157,company,компания,feminine
158,past,прошлое,neuter
159,bitch,сука,feminine
160,sound,звук,masculine
161,hair,волосы,"plural, masculine"
162,human,человек,masculine
163,drive,вождение,neuter
164,luck,удача,feminine
165,top,вершина,feminine
166,win,победа,feminine
167,control,управление,neuter
168,cold,холод,masculine
169,air,воздух,masculine
170,master,мастер,masculine
171,dance,танец,masculine
172,sex,секс,masculine
173,others,другие,"plural, both genders"
174,hospital,больница,feminine
175,street,улица,feminine
176,murder,убийство,neuter
177,lie,ложь,feminine
178,dream,мечта,feminine
179,catch,поимка,feminine
180,sweet,сладость,feminine
181,sense,смысл,masculine
182,bet,ставка,feminine
183,voice,голос,masculine
184,sign,знак,masculine
185,quiet,тишина,feminine
186,felt,чувство,neuter
187,beat,победа,feminine
188,return,возвращение,neuter
189,coffee,кофе,masculine
190,date,свидание,neuter
191,pull,тяжело,neuter
192,secret,секрет,masculine
193,fault,вина,feminine
194,fall,падение,neuter
195,song,песня,feminine
196,calm,спокойствие,neuter
197,road,дорога,feminine
198,drop,капля,feminine
199,future,будущее,neuter
200,throw,бросок,masculine
201,step,шаг,masculine
202,piece,кусок,masculine
203,picture,картина,feminine
204,land,земля,feminine
205,wonder,удивление,neuter
206,worth,стоимость,feminine
207,president,президент,masculine
208,eye,глаз,masculine
209,dude,парень,masculine
210,state,состояние,neuter
211,figure,фигура,feminine
212,act,акт,masculine
